trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
203,False,"{'a': 0.36704848916732985, 'e': 0.29103616682827194}",25,10,17.251708404983027,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.36673941472482213, 'e': 0.28501926246997616}",20,12,4.727053855539163,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.36643231871908732, 'e': 0.27899110603922928}",20,14,14.342918858910583,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.36612717869258565, 'e': 0.27295193551732538}",20,5,-22.880703649895043,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
207,False,"{'a': 0.36582397255168053, 'e': 0.26690198932037568}",25,17,1.373352451254823,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.36552267855900022, 'e': 0.26084150628989677}",25,12,17.33921455964312,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.36522327532599586, 'e': 0.25477072568338216}",25,18,-0.47098332094920536,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.36492574180569032, 'e': 0.24868988716485474}",25,10,30.00951028995937,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.36463005728561138, 'e': 0.24259923079540732}",20,8,-3.990761495724741,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
212,False,"{'a': 0.36433620138090433, 'e': 0.23649899702372476}",20,5,25.781362667706595,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.36404415402761819, 'e': 0.2303894266765906}",20,11,-16.147141303563966,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
214,False,"{'a': 0.3637538954761606, 'e': 0.22427076094938114}",20,2,15.382829607212873,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.36346540628491636, 'e': 0.21814324139654268}",30,20,19.726526450055633,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.36317866731402443, 'e': 0.21200710992205471}",25,13,-10.553259948496889,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
217,False,"{'a': 0.36289365971930981, 'e': 0.20586260876988136}",20,8,11.050866213788758,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.36261036494636384, 'e': 0.19970998051440722}",20,4,-16.148793514358573,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
219,False,"{'a': 0.36232876472477071, 'e': 0.19354946805086018}",25,12,14.418571441708737,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.36204884106247454, 'e': 0.18738131458572452}",30,16,16.14770482792521,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.36177057624028353, 'e': 0.18120576362713739}",25,11,-17.021639401714094,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
222,False,"{'a': 0.36149395280650687, 'e': 0.17502305897527604}",25,10,22.352989025941717,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.36121895357172135, 'e': 0.16883344471273382}",25,0,-11.593027145586298,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
224,False,"{'a': 0.36094556160366298, 'e': 0.16263716519488369}",25,12,22.85605212060698,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.36067376022224085, 'e': 0.15643446504023092}",25,12,9.83260060349671,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.36040353299466943, 'e': 0.15022558912075706}",25,13,13.639975687447162,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.36013486373071618, 'e': 0.14401078255225233}",25,17,0.9997560672094594,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.35986773647806064, 'e': 0.13779029068463819}",20,12,18.39937924056529,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.35960213551776332, 'e': 0.13156435909228256}",25,11,1.1992947565144545,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
230,False,"{'a': 0.35933804535983938, 'e': 0.12533323356430426}",20,14,-11.666082478036182,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
231,False,"{'a': 0.35907545073893576, 'e': 0.11909716009486969}",20,16,7.638887701729473,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.35881433661010842, 'e': 0.11285638487348158}",20,13,12.677453835517333,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.35855468814469682, 'e': 0.10661115427525998}",20,8,20.596137012303192,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.35829649072629272, 'e': 0.10036171485121491}",30,13,32.29204090752675,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.35803972994680194, 'e': 0.094108313318514283}",25,15,20.810379930466837,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.35778439160259484, 'e': 0.087851196550743305}",30,12,29.89353641602724,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.35753046169074443, 'e': 0.081590611568157625}",25,17,15.707099417305573,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.35727792640534967, 'e': 0.07532680552793275}",20,9,9.712931965319171,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.35702677213394063, 'e': 0.06906002571440599}",25,16,21.48045092597116,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.35677698545396458, 'e': 0.062790519529313513}",20,5,27.27831402908416,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.35652855312935045, 'e': 0.056518534482024402}",30,18,20.57890697739548,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.35628146210714923, 'e': 0.050244318179769598}",20,13,10.587394201746799,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.35603569951424852, 'e': 0.043968118317864895}",25,13,25.30290887674487,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.35579125265415984, 'e': 0.037690182669934479}",20,0,33.35170568561541,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
245,False,"{'a': 0.35554810900387568, 'e': 0.031410759078128396}",20,10,-24.903534110138953,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
246,False,"{'a': 0.35530625621079581, 'e': 0.025130095443337531}",30,19,19.792110879957665,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.35506568208972006, 'e': 0.018848439715408175}",20,13,13.680071349797988,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
